EPOCH 0 , FILE 288 , LOSS 2.428753413750943 , TIME 66.65926957130432
EPOCH 0 , FILE 289 , LOSS 2.3413044848964404 , TIME 66.95080041885376
EPOCH 0 , FILE 290 , LOSS 2.5376343242042196 , TIME 67.24860787391663
EPOCH 0 , FILE 291 , LOSS 2.5550529665020605 , TIME 67.54137063026428
EPOCH 0 , FILE 292 , LOSS 2.4636345778791844 , TIME 67.75036263465881
EPOCH 0 , FILE 293 , LOSS 2.6367394435138136 , TIME 67.8227047920227
EPOCH 0 , FILE 294 , LOSS 2.512598732176074 , TIME 68.14697098731995
EPOCH 0 , FILE 295 , LOSS 2.4849818778765123 , TIME 68.27361989021301
EPOCH 0 , FILE 296 , LOSS 2.5455963020923225 , TIME 68.52239298820496
EPOCH 0 , FILE 297 , LOSS 2.3163361323490594 , TIME 68.84229564666748
EPOCH 0 , FILE 298 , LOSS 2.5159923376971642 , TIME 69.04703640937805
EPOCH 0 , FILE 299 , LOSS 2.474862681535361 , TIME 69.32512354850769
EPOCH 0 , FILE 300 , LOSS 2.371432141962661 , TIME 69.41272711753845
EPOCH 0 , FILE 301 , LOSS 2.262713795424459 , TIME 69.6676733493805
EPOCH 0 , FILE 302 , LOSS 2.1354685879521194 , TIME 69.91745138168335
EPOCH 0 , FILE 303 , LOSS 2.4053837830917404 , TIME 70.06668758392334
EPOCH 0 , FILE 304 , LOSS 2.509438240043757 , TIME 70.40261054039001
EPOCH 0 , FILE 305 , LOSS 2.3128654889905693 , TIME 70.62623763084412
EPOCH 0 , FILE 306 , LOSS 2.3819645281994473 , TIME 70.9062123298645
EPOCH 0 , FILE 307 , LOSS 2.641220658878942 , TIME 71.10447239875793
EPOCH 0 , FILE 308 , LOSS 2.580074461174151 , TIME 71.42768120765686
EPOCH 0 , FILE 309 , LOSS 2.4529921528995047 , TIME 71.6013662815094
EPOCH 0 , FILE 310 , LOSS 2.291658985985729 , TIME 71.90669560432434
EPOCH 0 , FILE 311 , LOSS 2.2727909265999657 , TIME 72.2460036277771
EPOCH 0 , FILE 312 , LOSS 2.315269999988928 , TIME 72.44467163085938
EPOCH 0 , FILE 313 , LOSS 2.554831068896263 , TIME 72.70734810829163
EPOCH 0 , FILE 314 , LOSS 2.2863195808659844 , TIME 73.03402709960938
EPOCH 0 , FILE 315 , LOSS 2.6234358892214718 , TIME 73.376056432724
EPOCH 0 , FILE 316 , LOSS 2.3568471353252436 , TIME 73.70028901100159
EPOCH 0 , FILE 317 , LOSS 2.3839288110875976 , TIME 73.9315721988678
EPOCH 0 , FILE 318 , LOSS 2.264958784070057 , TIME 74.05611062049866
EPOCH 0 , FILE 319 , LOSS 2.409043548273982 , TIME 74.20699572563171
EPOCH 0 , FILE 320 , LOSS 2.7143025259394067 , TIME 74.51742243766785
EPOCH 0 , FILE 321 , LOSS 2.3837177794690008 , TIME 74.77224707603455
EPOCH 0 , FILE 322 , LOSS 2.2445414748358337 , TIME 75.07318544387817
EPOCH 0 , FILE 323 , LOSS 2.2361201904125996 , TIME 75.27836585044861
EPOCH 0 , FILE 324 , LOSS 2.479145347727991 , TIME 75.47719168663025
EPOCH 0 , FILE 325 , LOSS 2.338120112084289 , TIME 75.76622343063354
EPOCH 0 , FILE 326 , LOSS 2.0383716555076106 , TIME 75.98288154602051
EPOCH 0 , FILE 327 , LOSS 2.3700405499382335 , TIME 76.31385827064514
